000	———	
001	Pound	Clefairy, Clefable, Mr. Mime-0, Mr. Mime-1, Mew, Cleffa, Togepi, Togetic, Mime Jr., Togekiss, Timburr, Gurdurr, Conkeldurr, Trubbish, Garbodor, Minccino, Cinccino, Gothita, Gothorita, Gothitelle, Golett, Golurk, Helioptile, Heliolisk, Popplio, Brionne, Primarina, Salazzle, Sobble, Drizzile, Inteleon, Mr. Rime
002	Karate Chop	
003	Double Slap	
004	Comet Punch	
005	Mega Punch	Charmander, Charmeleon, Charizard, Squirtle, Wartortle, Blastoise, Pikachu-0, Pikachu-1, Pikachu-2, Pikachu-3, Pikachu-4, Pikachu-5, Pikachu-6, Pikachu-7, Raichu-0, Raichu-1, Clefairy, Clefable, Machop, Machoke, Machamp, Gengar, Hitmonlee, Hitmonchan, Rhydon, Mr. Mime-0, Mr. Mime-1, Snorlax, Mewtwo, Mew, Pichu, Cleffa, Togepi, Togetic, Sudowoodo, Quagsire, Sneasel, Delibird, Tyrogue, Hitmontop, Tyranitar, Lombre, Ludicolo, Ralts, Kirlia, Gardevoir, Sableye, Mawile, Flygon, Dusclops, Jirachi, Munchlax, Riolu, Lucario, Croagunk, Toxicroak, Snover, Abomasnow, Weavile, Rhyperior, Togekiss, Gallade, Dusknoir, Timburr, Gurdurr, Conkeldurr, Seismitoad, Throh, Sawk, Darumaka-0, Darumaka-1, Darmanitan-0, Darmanitan-1, Darmanitan-2, Darmanitan-3, Scraggy, Scrafty, Reuniclus, Cubchoo, Beartic, Golett, Golurk, Diggersby, Pancham, Pangoro, Heliolisk, Hawlucha, Goodra, Incineroar, Stufful, Bewear, Oranguru, Passimian, Turtonator, Hakamo-o, Kommo-o, Marshadow, Zeraora, Melmetal, Grookey, Thwackey, Rillaboom, Coalossal, Toxtricity-0, Toxtricity-1, Clobbopus, Grapploct, Impidimp, Morgrem, Grimmsnarl, Obstagoon, Mr. Rime, Dracozolt, Arctozolt
006	Pay Day	Pikachu-0, Pikachu-1, Pikachu-2, Pikachu-3, Pikachu-4, Pikachu-5, Pikachu-6, Pikachu-7, Raichu-0, Raichu-1, Meowth-0, Meowth-1, Meowth-2, Persian-0, Persian-1, Rapidash-0, Rapidash-1, Rhydon, Eevee, Vaporeon, Jolteon, Flareon, Snorlax, Mewtwo, Mew, Espeon, Umbreon, Munchlax, Rhyperior, Leafeon, Glaceon, Purrloin, Liepard, Espurr, Meowstic-0, Meowstic-1, Sylveon, Litten, Torracat, Incineroar, Zeraora, Perrserker, Indeedee-0, Indeedee-1
007	Fire Punch	Charmander, Charmeleon, Charizard, Clefairy, Clefable, Machop, Machoke, Machamp, Gastly, Haunter, Gengar, Hitmonchan, Rhydon, Mr. Mime-0, Snorlax, Mewtwo, Mew, Sudowoodo, Tyranitar, Lombre, Ludicolo, Ralts, Kirlia, Gardevoir, Sableye, Flygon, Dusclops, Jirachi, Munchlax, Rhyperior, Gallade, Dusknoir, Timburr, Gurdurr, Conkeldurr, Throh, Sawk, Darumaka-0, Darumaka-1, Darmanitan-0, Darmanitan-1, Darmanitan-2, Darmanitan-3, Scraggy, Scrafty, Reuniclus, Golett, Golurk, Heatmor, Diggersby, Pancham, Pangoro, Heliolisk, Hawlucha, Goodra, Incineroar, Kommo-o, Marshadow, Zeraora, Cinderace, Coalossal, Toxtricity-0, Toxtricity-1, Grimmsnarl, Obstagoon
008	Ice Punch	Squirtle, Wartortle, Blastoise, Clefairy, Clefable, Machop, Machoke, Machamp, Gastly, Haunter, Gengar, Hitmonchan, Rhydon, Mr. Mime-0, Mr. Mime-1, Snorlax, Mewtwo, Mew, Sudowoodo, Wooper, Quagsire, Sneasel, Delibird, Tyranitar, Lombre, Ludicolo, Ralts, Kirlia, Gardevoir, Sableye, Mawile, Dusclops, Jirachi, Munchlax, Riolu, Lucario, Croagunk, Toxicroak, Snover, Abomasnow, Weavile, Rhyperior, Gallade, Dusknoir, Froslass, Timburr, Gurdurr, Conkeldurr, Seismitoad, Throh, Sawk, Darumaka-1, Darmanitan-2, Darmanitan-3, Scraggy, Scrafty, Reuniclus, Cubchoo, Beartic, Golett, Golurk, Diggersby, Pancham, Pangoro, Stufful, Bewear, Kommo-o, Marshadow, Melmetal, Clobbopus, Grapploct, Grimmsnarl, Obstagoon, Mr. Rime, Eiscue-0, Eiscue-1
009	Thunder Punch	Charmander, Charmeleon, Charizard, Pikachu-0, Pikachu-1, Pikachu-2, Pikachu-3, Pikachu-4, Pikachu-5, Pikachu-6, Pikachu-7, Raichu-0, Raichu-1, Clefairy, Clefable, Machop, Machoke, Machamp, Gastly, Haunter, Gengar, Hitmonchan, Rhydon, Mr. Mime-0, Snorlax, Mewtwo, Mew, Pichu, Sudowoodo, Tyranitar, Lombre, Ludicolo, Ralts, Kirlia, Gardevoir, Sableye, Mawile, Flygon, Dusclops, Jirachi, Munchlax, Riolu, Lucario, Croagunk, Toxicroak, Rhyperior, Gallade, Dusknoir, Timburr, Gurdurr, Conkeldurr, Throh, Sawk, Scraggy, Scrafty, Reuniclus, Golett, Golurk, Heatmor, Zekrom, Diggersby, Pancham, Pangoro, Heliolisk, Hawlucha, Goodra, Incineroar, Stufful, Bewear, Kommo-o, Marshadow, Zeraora, Melmetal, Toxtricity-0, Toxtricity-1, Grimmsnarl, Obstagoon, Morpeko-0, Morpeko-1, Dracozolt, Arctozolt
